id,V1,ID2,V8,V9,V10,Q1,Q2,Q2_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_7_TEXT,Q4,Q4_TEXT,Q5,Q5_TEXT,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_10_TEXT,Q9_11,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_13_TEXT,Q10_14,Q11,Q11_TEXT,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q13_16,Q13_17,Q13_17_TEXT,Q13_18,Q13_18_TEXT,Q13_19,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_10_TEXT,Q14_11,Q14_12,Q14_13,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12, Q16 # of NO's, Q16 # of YES's,Q16_12_TEXT,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q18_1,Q18_2,Q18_3,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q20_1,Q20_2,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_7_TEXT,Q22_1,Q22_2,Q22_3,Q22_4,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_7_TEXT,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_7_TEXT,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_7_TEXT,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_7_TEXT,Q27_1,Q27_2,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_7_TEXT,Q29_1,Q29_2,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_7_TEXT,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q33,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q36,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q39,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q40_6,Q40_7,Q40_8,Q40_9,Q40_10,Q40_11,Q40_11_TEXT,Q41,Q42,Q43_1_1,Q43_1_2,Q43_1_3,Q43_1_4,Q43_1_5,Q43_2_1,Q43_2_2,Q43_2_3,Q43_2_4,Q43_2_5,Q43_3_1,Q43_3_2,Q43_3_3,Q43_3_4,Q43_3_5,Q43_4_1,Q43_4_2,Q43_4_3,Q43_4_4,Q43_4_5,Q43_5_1,Q43_5_2,Q43_5_3,Q43_5_4,Q43_5_5,Q43_6_1,Q43_6_2,Q43_6_3,Q43_6_4,Q43_6_5,Q43_7_1,Q43_7_2,Q43_7_3,Q43_7_4,Q43_7_5,Q43_8_1,Q43_8_2,Q43_8_3,Q43_8_4,Q43_8_5,Q43_9_1,Q43_9_2,Q43_9_3,Q43_9_4,Q43_9_5,Q43_10_1,Q43_10_2,Q43_10_3,Q43_10_4,Q43_10_5,Q43_11_1,Q43_11_2,Q43_11_3,Q43_11_4,Q43_11_5,Q43_12_1,Q43_12_2,Q43_12_3,Q43_12_4,Q43_12_5,Q43_12_TEXT,Q44,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q45_6,Q45_7,Q45_7_TEXT,Q46,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,3+4+5,Q47_6,Q47_7,Q48,factor 1,,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q49_6,Q49_7,Q49_8,Q49_9,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_9,Q50_9_TEXT,Q50_10,Q50_11,Q9Count,Q10Count,Q16Count,RschIntensive,TeachIntensive,AgeCategory,Continents,filter_$,,,
350,R_6XsqjQVObDvvHQ9,269,10/26/2013,10/26/2013,1,1,1, ,0,0,0,60,40,0,0, ,1, ,4, ,88, ,60,1,0,1,0,0,0,0,0,0,0, , ,2,2,2,1,2,1,2,2,2,2,2,2,2, , ,1, ,1,1, , , , , , , , ,1, , , , , , , , , , , ,2, ,1,3,1,1,1,1,1,1, , , , ,1,1,2,2,1,2,2,2,2,2,2,2,2,10,2, ,2,3,2,1,1,3,2,2,4,4,3,3,1,1,3,1,3,3,3,2,1,3,3,5,4,1, ,1, , , , , ,5,5,5,5, , ,1, , , , , , , ,1, , , , , , , ,1, , , , , , , ,1, , , , , ,5,5, , ,1, , , , , ,5,5,1, ,1, , , , , ,4,4,3,3,4,5,3,3,4,4,4,3,3,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,4,3,4,1,5.3593,,1,1,2,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5, , , ,2,2,2,1,0,3,3,0,,677,"3, 3,"
355,R_71cRYjpaGTr453D,742,10/30/2013,10/30/2013,0,1,1, ,10,0,10,40,25,0,15, ,6, ,4, ,88, ,60,0,0,0,1,0,1,0,0,0,0, , ,2,2,2,2,2,2,2,2,2,2,1,2,2, , ,1, ,2, , , , , , , , , , , , , , , , , , , , ,1,2,1,5,4,2,1,2,5,5, , , , , ,2,2,1,2,2,2,2,2,2,2,1,2,2,10,2, ,6,6,6,6,6,6,6,6,4,5,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , ,, , , ,,, , , , , , , , , , , , , , , , , , , , , ,2,1,2,0,0,3,3, ,,678,"3, 3,"
787,R_73eQcRIP0rsSyih,140,10/25/2013,10/25/2013,1,1,3, ,50,0,10,40,0,0,0, ,1, ,9, ,3, ,54,0,0,0,0,0,1,0,0,0,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,1, ,2, , , , , , , , , , , , , , , , , , , , ,1,2,1,1,4,2,1,1,1,1, , , , , ,4, , , , , , , , , , , , ,,, ,5,5,5,5,5,5,5,5,5,3,5,2,1,1,2,2,2,2,2,2,2,2,2,3,3, , , , , , , , ,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3, , , , , , , , ,3,3, , , , , , , , ,5,4,4,4,4,5,5,5,3,5,5,5,5,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,5,5,1,5,11,5,5,4,2.4252,,1,1,1,5,4,2,1,5,5,5,4,4,3,4,4,5,1, , , , ,1,1, ,0,0,3,3,0,,679,"3, 3,"
549,R_8IhmCmsaixsJ71j,971,11/18/2013,11/18/2013,1,1,1, ,0,0,0,0,90,10,0, ,19, ,7, ,38, ,57,0,0,0,0,0,0,0,0,1,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,7,none, , , , , , , , , , , , , , , , , , , , , ,1,5, , , , , , , , ,2,usa, , , ,4, , , , , , , , , , , , ,,, ,3,3,3,3,3,3,3,3, , ,5,3,3,3,3,3,3,3,3,3,3,3,3,6,6, , , , , , , , ,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4, ,1, , , , , , ,4,4, ,1, , , , , , ,6,6,6, ,6,3,3,3,3,3,3,3,3,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , ,, , , ,,, , , , , , , , , , , , , , , , , , , , , ,1,1, ,0,2,3,3,0,,680,"3, 3,"
127,R_6lfuWtWA4atddnT,632,10/27/2013,10/27/2013,0,1,1, ,50,10,10,20,5,5,0, ,12, ,2, ,82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , ,, , , ,,, , , , , , , , , , , , , , , , , , , , , , , , ,0,0,NA,3, ,,681,"NA, 3,"
505,R_8e2C1gyfwPeR433,602,10/26/2013,10/26/2013,0,1,1, ,0,0,0,80,20,0,0, ,2, ,5, ,176, , ,1,0,0,0,0,0,0,0,0,0, , ,2,2,2,2,2,1,2,1,2,2,2,2,1, , ,5, ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , ,, , , ,,, , , , , , , , , , , , , , , , , , , , , ,1,3, ,1,0,NA,3, ,,682,"NA, 3,"
73,R_bE4pMjuBRoCQjqd,1169,11/21/2013,11/21/2013,0,1,1, ,65,10,0,10,5,10,0, ,1, ,1, ,172, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , ,, , , ,,, , , , , , , , , , , , , , , , , , , , , , , , ,0,0,NA,3, ,,683,"NA, 3,"
841,R_07ocotFSzEJcy5T,218,10/25/2013,10/25/2013,1,1,1, ,0,0,0,95,5,0,0, ,9, ,9, ,161, ,82,1,0,1,0,0,0,1,1,0,0, , ,2,2,2,2,2,2,1,2,2,2,2,2,2, , ,1, ,2,1, , , , , , , , ,1, , , , , , ,1,"UNEP, European environmental Agency", , , ,3,2,1,4,2,1,5,5,1, , , , , ,2,1,2,2,2,2,2,2,1,2,1,2,2,9,3, ,4,4,4,2,1,4,4,4,3,4,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1, , , , , , , , ,2,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1, ,1, , , , , , ,4,1, , ,1, , , , , ,5,4,5,5,5,5,5,4,3,3,5,5,5,2, , , , , , , , , , ,2, , , , , , , , ,1, ,1, , , , , ,1, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,2,1,2,5,5,6,4,4.6065,,1,1,1,2,3,3,3,4,4,5,2,2,5,2,2,5,5, , , , ,4,1,3,1,0,1,4,0,,684,"1, 4,"
129,R_0x3XeOECuN2Nz6J,743,10/30/2013,10/30/2013,0,1,1, ,5,0,0,40,50,5,0, ,2, ,2, ,19, ,89,1,0,0,0,0,0,0,0,0,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,2, ,2, , , , , , , , , , , , , , , , , , , , ,1,4,1,1,4,1,1,1,1,1,1, , , , ,4, , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , ,, , , ,,, , , , , , , , , , , , , , , , , , , , , ,1,1, ,0,2,1,4, ,,685,"1, 4,"
935,R_1TRAg0Hkunn3ig5,167,10/25/2013,10/25/2013,1,1,3, ,20,20,20,20,10,10, , ,4, ,10,enterprise architect,122, ,79,0,0,0,1,1,1,0,0,0,0, , ,2,2,2,2,2,2,2,2,2,2,1,2,2, , ,6, ,2, , , , , , , , , , , , , , , , ,1,Nashua Labs Standards, , , ,4,1,1,1,1,1,1,1,1, , ,4, , ,1,2,2,2,2,2,2,2,2,2,1,2,2,11,1, ,4,4,4,6,4,4,4,4,1,5,1,3,1,1,3,1,1,2,1,1,1,3,1,4,6, , ,1, , , ,1,researcher = data steward,4,3,4,3, , ,1, ,1, , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , ,4,6, , ,1, ,1, , , ,4,6, , ,1, ,1, , , ,3,3,5,5,3,3,1,1,4,4,1,4,3,3, , , , , , , , , , ,3, , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , ,1,3, , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , , , , , ,1, , , , , , , , ,1,2,2,2,2,2,6,3,3,1,9.7875,,3,3,3,3,3,3,3,3,3,3,1,2,3,2,2,5,3, , , , ,3,1,1,0,0,1,4,1,,686,"1, 4,"
849,R_1UiOLcJ5u78zsBT,680,10/28/2013,10/28/2013,0,1,5,R & D,0,20,0,70,0,10,0, ,9, ,9, ,86, ,83,0,0,1,0,0,0,0,0,0,0, , ,2,2,2,2,2,1,2,2,2,2,2,2,2, , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , ,, , , ,,, , , , , , , , , , , , , , , , , , , , , ,1,1, ,1,0,1,4, ,,687,"1, 4,"
508,R_23niW7RqabulAGh,241,10/26/2013,10/26/2013,1,1,1, ,0,0,0,80,10,10,0, ,6, ,5, ,68, ,79,1,0,1,0,0,1,1,1,0,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,1, ,2,1, , , , , , , , ,1, , , , , , , , , , , ,2,1,2,3, , , , , , , , , , ,3,2,1,2,1,1,2,1,2,2,2,2,2,8,4, ,5,5,4,1,4,5,2,4,5,3,5,3,1,1,3,2,2,1,2,2,3,2,2,2,1, , , , , , , , ,2,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1, , ,3,3, , , , , , , , ,4,3,1, , ,1,1, , , ,4,4,5,3,4,5,5,4,4,5,5,4,5,2, , , , , , , , , , ,2, , , , , , , , ,1,1,1,1,1,1, ,1,1,1,1, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,1,1,1,3,5,5,5,1.8553,,1,1,1,5,3,1,1,5,5,5,5,3,5,5,5,5,2, , , , ,5,1,4,1,0,1,4,0,,688,"1, 4,"
633,R_24PQpUYLst4fwB7,79,10/24/2013,10/24/2013,1,1,1, ,10,0,0,80,10,0,0, ,16, ,8, ,181, ,78,0,0,0,1,1,1,0,0,1,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,1, ,3, , , , , , , , , , , , , , , , ,1,gchq.gov.uk,1,University ethics, ,4,5,5,1,2,1,1,1,1,1, , , , ,2,2,2,2,2,2,1,2,1,1,2,2,2,9,3, ,4,5,4,3,5,5,3,5,4,5,1,1,2,2,1,1,3,2,2,2,1,1,1,5,5,1, , ,1, ,1, , ,5,5,5,5,1, , ,1, ,1, , ,1, , ,1, ,1, , ,1, , ,1, ,1, , ,1, , ,1, ,1, , ,6,6, , , , , , , , ,6,6, , , , , , , , ,4,2,4,5,5,4,1,1,5,4,4,5,1,2, , , , , , , , , , ,2, , , , , , , , ,1,1,1,1, , ,1, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,5,1,7,5,3,1,11.8316,,2,4,5,1,1,4,4,1,5,1,1,6,6,1,4,5,1, , , , ,4,1,3,1,0,1,4,0,,689,"1, 4,"
839,R_24y60jhhz2mmJQF,147,10/25/2013,10/25/2013,1,1,1, ,5,0,0,90,0,5,0, ,9, ,9, ,137, ,84,0,0,0,0,0,0,1,0,0,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,1, ,3,1, , , , , , , , , , , , , , , ,1, ,1,REVERB WIST, , , ,1,3,2, , , ,2, , , , , ,2,2,2,2,1,2,2,2,2,2,2,2,2,11,1, ,4,5,4,3,4,5,1,2,4,2,2,2,1,1,1,2,2,2,2,2,2,2,1,4,4, , , , , ,1, , ,3,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , ,4,4,1, , , , , , , ,4,5,3,3,6,5,2,5,3,2,5,5,5,2, , , , , , , , , , ,1,1,4,4,2,2,5,5,5,1,1, ,1,1, , ,1,1, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,2,2,6,5,2,3,6.6735,,2,3,2,2,3,2,2,2,4,5,4,2,5,4,4,5,5, , , , ,1,1,1,1,0,1,4,0,,690,"1, 4,"
536,R_2aUnEYhihykOjd3,300,10/28/2013,10/28/2013,1,1,1, ,10,6,2,50,2,30, , ,2, ,6, ,68, ,84,1,0,1,0,0,1,1,0,0,0, , ,2,2,2,2,1,1,2,1,2,2,2,2,2, , ,6, ,2,1, , ,1, , , , , ,1, , , , , ,1, , , , , ,2,3,5,1,2,5,5,2,2, , , , , ,3,1,2,2,2,2,2,2,1,2,2,2,2,10,2, ,5,5,5,5,5,5,5,5,5,5,5,2,2,1,1,2,3,2,3,3,1,1,1,5,5,1, ,1,1,1,1, , ,6,6,5,6, , , , , , , , , , , , , , , , ,1, ,1,1, ,1, , , , , , , , , , ,5,5, ,1, , , , , , ,5,5,1,1,1,1,1,1, , ,4,5,5,5,4,5,5,5,5,5,5,5,5,2, , , , , , , , , , ,2, , , , , , , , ,1, , , , , , , , ,1, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,1,3,6,1,4,3.2625,,1,1,1,2,1,1,1,5,1,5,5, , , , , ,1, , , , ,4,3,2,1,0,1,4,0,,691,"1, 4,"
824,R_2ayDfmkrzBH31Zz,802,11/11/2013,11/11/2013,1,1,1, ,20,10,0,50,0,20,0, ,2, ,9, ,181, ,78,0,0,1,1,0,1,1,0,0,0, , ,1,2,2,2,2,2,2,2,2,1,2,2,1,CF NetCDF, ,1, ,1, , , , , , , , , , , , , , , , , , ,1,NERC Environmental Data Centres, ,2,1,2,1,1,4,1,1,2, , , , , ,2,2,2,2,1,2,1,1,1,2,2,2,2,8,4, ,4,4,4,4,3,4,3,3,4,5,4,1,1,1,3,3,3,1,1,1,1,1,1,4,5, , , , ,1, , , ,3,2,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3, , , , ,1, , , ,4,4, , , , ,1, , , ,5,3,4,4,5,4,5,4,2,4,4,5,4,1,4, , , , , , , , ,3,3, , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1, , ,1,2, , , ,1, , , , , ,1, , , , ,1, , , , ,1, , , ,1, , , , ,1, , , , , ,1, , , ,1, , , , ,1, , , , , ,1, , , ,1, , , , , , , ,4,1, , , , , , , ,1,2,2,3,2,3,8,4,2,3,5.8214,,2,2,2,4,4,2,2,4,4,4,4,3,4,2,4,4,4, , , , ,4,3,4,1,0,1,4,1,,692,"1, 4,"
616,R_2gHa4oMQTcsItNP,35,10/19/2013,10/19/2013,1,1,1, ,0,0,0,90,5,5,0, ,6, ,8, ,68, ,85,0,0,0,0,0,0,1,0,0,0, ,1,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,1, ,2, , ,1, , , , , , , , , , , , , ,1,RBG Kew World Checklist of Selected Plant Species and Kew Seed Information Database,1,"TRY and a variety of other online databases (I can give more details by email), WORLDCLIM, GENBANK, The Plant List, Angiosperm Phylogeny Website ...", ,1,1,1,4,1,2,2,1,1, , , , , ,4, , , , , , , , , , , , ,,, ,2,2,4,2,2,3,6,6,5,3,3,2,1,1,2,2,2,2,2,2,3,2,2,1,1, , , , , , , , ,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3, , , , , , , , ,6,6, , , , , , , , ,5,5,4,4,5,5,5,6,4,4,5,5,5,3, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,3,1,1,1,3,4,5,4,1.8553,,1,1,1,5,5,1,1,6,5,5,5,5,5,5,5,5,5, , , , ,1,1, ,1,0,1,4,0,,693,"1, 4,"
938,R_2uhX754Umjfmj1X,1125,11/25/2013,11/25/2013,1,1,1, ,0,20,0,50,2,28,0, ,11, ,10,Technician,161, ,81,1,0,1,1,0,0,0,0,0,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,7,European fundings,2, , , , , , , , , , , , , , , , , , , , ,1,4, , ,4, , , , , , , , , , ,4, , , , , , , , , , , , ,,, ,4,4,4,4,4,4,6,4,5,3,3,2,1,3,3,2,2,2,2,2,2,3,1,5,5, , ,1, ,1, , , ,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , ,4,3,1, ,1, , , , , ,4,2,3,3,2,5,4,4,2,5,5,4,2,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,2,1,4,5,6,4,5.3253,,2,2,2,5,3,1,1,3,2,5,5,3,5,3,5,5,5, , , , ,3,1, ,1,0,1,4,0,,694,"1, 4,"
838,R_3aVwfYekfJuGFZb,1337,2/10/2014,2/10/2014,0,1,1, ,0,10,0,70,0,20,0, ,8, ,9, ,64, ,83,0,0,1,0,0,0,0,1,0,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,1, ,3, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , ,, , , ,,, , , , , , , , , , , , , , , , , , , , , ,2,1, ,1,0,1,4, ,,695,"1, 4,"
844,R_3C0tkyYZ80YXqGF,510,10/25/2013,10/25/2013,0,1,1, ,20,0,0,70,0,10,0, ,9, ,9, ,179, ,85,0,0,1,0,0,1,1,1,0,0, , ,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,6, ,3, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , ,, , , ,,, , , , , , , , , , , , , , , , , , , , , ,4,1, ,1,0,1,4, ,,696,"1, 4,"
624,R_3EsCXKlCg5bvO9n,1256,2/6/2014,2/6/2014,1,1,1, ,0,0,0,100,0,0,0, ,6, ,8, ,168, ,83,1,1,0,0,0,1,0,0,0,0, , ,2,2,2,2,2,2,2,2,2,2,1,2,2, , ,1, ,3, , ,1, , , , , , , , , , , , , ,1,Figshare, , , ,1,1,3,4,1,1,2,1,1, , , , , ,2,2,2,2,1,2,2,2,1,2,1,2,2,9,3, ,5,5,4,3,3,5,2,3,4,1,4,2,1,3,2,2,2,2,3,1,2,2,3,6,6, , , , , , , , ,1,1,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,6,6, , , , , , , , ,5,6,1, , , ,1, , , ,2,2,4,5,6,5,5,2,1,4,5,4,5,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,2,2,3,7,5,2,3,6.5283,,2,2,5,4,2,1,1,3,5,5,5,3,4,4,4,5,5, , , , ,3,1,3,1,0,1,4,0,,697,"1, 4,"
